"","logFC","AveExpr","t","P.Value","padj","B"
"ITGB5",1.35639319407761,2.35093143135184,5.55249779738852,5.14641817993159e-06,0.00290157693114478,4.09512272463717
"GK3P",1.34421106023208,1.52896943766759,5.53824901565219,5.35558714748286e-06,0.00290157693114478,4.05788982561626
"ADCY3",2.09642479842364,3.92369779248083,5.5371892056248,5.37148203342184e-06,0.00290157693114478,4.05512013339259
"SH3BGRL2",1.40732694976653,2.67165354011476,5.49348648191441,6.06990528902881e-06,0.00309693942871365,3.94086797188181
"CD177",4.67320973913955,5.87809321253109,5.49212106450558,6.09313794457401e-06,0.00309693942871365,3.9372971382589
"PPBP",2.34383733216853,7.68094695583938,5.49031305748311,6.12403875587099e-06,0.00309693942871365,3.93256873662761
"SOD2",1.48343830321902,7.70776617730186,5.47971378265469,6.30838378084882e-06,0.00309965429828096,3.9048464326959
"MYO10",1.61736042349601,2.02229599126226,5.47510702557063,6.39023311241025e-06,0.00309965429828096,3.89279619750728
"WDFY3-AS2",1.00747630991822,1.10125865348023,5.46114526487338,6.64486576248085e-06,0.00311701941963129,3.85627067257032
"BEND7",1.86624179715515,2.27908503798166,5.45881639055716,6.68832002697728e-06,0.00311701941963129,3.85017739949467
"LOC100128568",1.17514442717884,1.5122702868806,5.44566100624366,6.93919737083342e-06,0.00317174698288402,3.81575406943149
"SAMSN1",1.71809374790369,5.67299024684251,5.42334132582661,7.38663990254102e-06,0.00331255956987915,3.75733745760191
"CTDSPL",1.29755873344336,3.00875301185103,5.40074151513949,7.86921314878152e-06,0.00346361959481924,3.69817151305687
"GP9",1.68015350068265,2.74911298271315,5.39169349221579,8.07117081928262e-06,0.00348472341630976,3.67447962026943
"TSC22D3",1.31413572750799,7.99022899675429,5.38532956381334,8.21632491071677e-06,0.00348472341630976,3.65781450583708
"MYLK",1.16841366228826,2.32993164396927,5.37194393709436,8.53023990426151e-06,0.00348472341630976,3.62275808666991
"FAAH",-1.21182996306141,1.30863081811072,-5.37005305089895,8.57554363742908e-06,0.00348472341630976,3.6178055375059
